[11:43:18.865] [INFO] [FileLogger] FileLogger initialized. Log directory: /data/user/0/com.starception.submission.demo.debug/files/prayer_logs
[11:43:18.880] [INFO] [SubmissionApplication] Application onCreate started - FileLogger initialized
[11:43:22.437] [INFO] [PrayerNotificationService] Service onCreate - Prayer notification service created
[11:43:22.520] [INFO] [PrayerEvent] PRAYER_EVENT: SCHEDULE_REQUEST | Prayer: Fajr | Scheduled: 5:31 AM | Details: reminderMinutes=20
[11:43:22.547] [INFO] [PrayerEvent] PRAYER_EVENT: ADHAN_SCHEDULED | Prayer: Isha | Scheduled: 2025-12-11 18:52:00.000 | Details: notificationType=prayer_time, scheduledDateTime=2025-12-11T18:52, delaySeconds=25717, delayMs=25717458, delayMinutes=428.62, alarmType=EXACT_ALLOW_IDLE, currentTime=2025-12-11 11:43:22.542
[11:43:22.549] [INFO] [PrayerEvent] PRAYER_EVENT: ADHAN_SCHEDULED | Prayer: Isha | Scheduled: 2025-12-11 18:32:00.000 | Details: notificationType=reminder, scheduledDateTime=2025-12-11T18:32, delaySeconds=24517, delayMs=24517457, delayMinutes=408.62, alarmType=EXACT_ALLOW_IDLE, currentTime=2025-12-11 11:43:22.543
[11:43:25.816] [INFO] [PrayerEvent] PRAYER_EVENT: PRAYER_DETECTION | Prayer: Fajr | Actual: 11:43:25.813070 | Details: currentPrayer=Fajr, currentPrayerTime=05:31:13, nextPrayer=Dhuhr, nextPrayerTime=12:05:45, fajr=05:31:13, dhuhr=12:05:45, asr=15:11:16, maghrib=17:33:37, isha=18:52:16, calculationMethod=Umm al-Qura (Makkah)
[11:43:25.836] [INFO] [PrayerEvent] PRAYER_EVENT: PRAYER_DETECTION | Prayer: Fajr | Actual: 11:43:25.834676 | Details: currentPrayer=Fajr, currentPrayerTime=05:31:13, nextPrayer=Dhuhr, nextPrayerTime=12:05:45, fajr=05:31:13, dhuhr=12:05:45, asr=15:11:16, maghrib=17:33:37, isha=18:52:16, calculationMethod=Umm al-Qura (Makkah)
[11:43:25.862] [INFO] [PrayerEvent] PRAYER_EVENT: NOTIFICATION_POSTED | Prayer: Fajr | Actual: 11:43:25.860642 | Details: phase=MAKE_TIME, progress=94, title=Make Time for Fajr, content=6h 12m since Fajr, prayerTime=05:31:13
[11:43:25.875] [INFO] [PrayerEvent] PRAYER_EVENT: NOTIFICATION_POSTED | Prayer: Fajr | Actual: 11:43:25.870612 | Details: phase=MAKE_TIME, progress=94, title=Make Time for Fajr, content=6h 12m since Fajr, prayerTime=05:31:13
[11:43:29.499] [INFO] [PrayerEvent] PRAYER_EVENT: PRAYER_DETECTION | Prayer: Fajr | Actual: 11:43:29.497877 | Details: currentPrayer=Fajr, currentPrayerTime=05:31:13, nextPrayer=Dhuhr, nextPrayerTime=12:05:45, fajr=05:31:13, dhuhr=12:05:45, asr=15:11:16, maghrib=17:33:37, isha=18:52:16, calculationMethod=Umm al-Qura (Makkah)
[11:43:29.510] [INFO] [PrayerEvent] PRAYER_EVENT: NOTIFICATION_POSTED | Prayer: Fajr | Actual: 11:43:29.509639 | Details: phase=MAKE_TIME, progress=94, title=Make Time for Fajr, content=6h 12m since Fajr, prayerTime=05:31:13
[11:44:26.027] [INFO] [PrayerEvent] PRAYER_EVENT: PRAYER_DETECTION | Prayer: Fajr | Actual: 11:44:26.026053 | Details: currentPrayer=Fajr, currentPrayerTime=05:31:13, nextPrayer=Dhuhr, nextPrayerTime=12:05:45, fajr=05:31:13, dhuhr=12:05:45, asr=15:11:16, maghrib=17:33:37, isha=18:52:16, calculationMethod=Umm al-Qura (Makkah)
[11:44:26.037] [INFO] [PrayerEvent] PRAYER_EVENT: NOTIFICATION_POSTED | Prayer: Fajr | Actual: 11:44:26.036364 | Details: phase=MAKE_TIME, progress=94, title=Make Time for Fajr, content=6h 13m since Fajr, prayerTime=05:31:13
[11:45:00.044] [INFO] [PrayerEvent] PRAYER_EVENT: ADHAN_FIRED | Prayer: Dhuhr | Actual: 2025-12-11 11:45:00.042 | Details: notificationType=reminder, scheduledPrayerTime=12:05 PM, source=AlarmManager
[11:45:26.189] [INFO] [PrayerEvent] PRAYER_EVENT: PRAYER_DETECTION | Prayer: Fajr | Actual: 11:45:26.187850 | Details: currentPrayer=Fajr, currentPrayerTime=05:31:13, nextPrayer=Dhuhr, nextPrayerTime=12:05:45, fajr=05:31:13, dhuhr=12:05:45, asr=15:11:16, maghrib=17:33:37, isha=18:52:16, calculationMethod=Umm al-Qura (Makkah)
[11:45:26.203] [INFO] [PrayerEvent] PRAYER_EVENT: NOTIFICATION_POSTED | Prayer: Fajr | Actual: 11:45:26.202422 | Details: phase=MAKE_TIME, progress=94, title=Make Time for Fajr, content=6h 14m since Fajr, prayerTime=05:31:13
